crse_code,levl_code,styp_code,train_code,pred_code,202308_current,202408_current,202308_final,202408_predict,202408_change_pct,pred_code_final,pred_code_predict,pred_code_error,pred_code_error_pct,pred_code_mlt,train_score,test_score,overall_score
_allcrse,ug,n,all,202308,1166,1389,2700,3125.64,15.76,2700,2747.78,47.78,1.77,1.04,17.46,13.66,15.56
_allcrse,ug,n,all,202208,1166,1389,2700,3172.07,17.48,2448,2355.66,-92.34,-3.77,1.06,17.46,16.36,16.91
_allcrse,ug,n,all,202108,1166,1389,2700,3211.54,18.95,2142,2160.34,18.34,0.86,1.07,17.46,19.8,18.63
_allcrse,ug,n,202308,202308,1166,1389,2700,3093.38,14.57,2700,2705.56,5.56,0.21,1.04,15.85,12.16,14.01
_allcrse,ug,n,202308,202208,1166,1389,2700,3139.33,16.27,2448,2239.37,-208.63,-8.52,1.06,15.85,19.18,17.52
_allcrse,ug,n,202308,202108,1166,1389,2700,3178.4,17.72,2142,2034.36,-107.64,-5.03,1.07,15.85,23.82,19.83
_allcrse,ug,n,202208,202308,1166,1389,2700,3305.38,22.42,2700,2872.41,172.41,6.39,1.04,15.78,15.15,15.46
_allcrse,ug,n,202208,202208,1166,1389,2700,3354.49,24.24,2448,2442.06,-5.94,-0.24,1.06,15.78,13.35,14.56
_allcrse,ug,n,202208,202108,1166,1389,2700,3396.23,25.79,2142,2207.97,65.97,3.08,1.07,15.78,22.67,19.22
_allcrse,ug,n,202108,202308,1166,1389,2700,2863.75,6.06,2700,2525.0,-175.0,-6.48,1.04,20.04,17.19,18.61
_allcrse,ug,n,202108,202208,1166,1389,2700,2906.29,7.64,2448,2137.77,-310.23,-12.67,1.06,20.04,21.05,20.54
_allcrse,ug,n,202108,202108,1166,1389,2700,2942.46,8.98,2142,2116.99,-25.01,-1.17,1.07,20.04,16.31,18.17
